Secteur;Leviers SGPE;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur
Résidentiel;Changement chaudières fioul + rénovation (résidentiel);43;48;51;40;10;43;31;24;45;41;41;41;42
Résidentiel;Changement chaudières gaz + rénovation (résidentiel);32;28;26;32;17;33;43;47;29;32;32;34;32
Résidentiel;Sobriété des bâtiments (résidentiel);25;23;23;28;73;24;26;28;26;27;26;25;26
Tertiaire;Changement de chaudière à fioul (tertiaire);37;39;32;43;50;36;33;15;40;41;38;39;31
Tertiaire;Changement de chaudière à gaz (tertiaire);17;19;23;16;0;21;21;24;17;15;14;19;16
Tertiaire;Sobriété et isolation des bâtiments (tertiaire);45;42;46;42;50;43;47;60;43;43;48;42;53
Transport ;Réduction des déplacements;5;4;5;4;8;4;4;8;4;5;5;5;6
Transport ;Covoiturage;5;4;5;4;8;4;4;8;4;5;5;5;6
Transport ;Vélo et transport en commun;8;7;8;7;14;7;7;13;7;8;9;8;9
Transport ;Véhicules électriques;19;18;20;18;32;18;16;20;18;19;22;19;21
Transport ;Efficacité et carburants décarbonés des véhicules privés;10;10;11;10;17;10;9;11;10;11;12;10;12
Transport ;Bus et cars décarbonés;1;1;1;1;3;1;1;2;1;1;1;1;2
Transport ;Fret décarboné et multimodalité;23;25;22;25;8;25;26;17;25;23;20;24;20
Transport ;Efficacité et sobriété logistique;28;31;28;31;9;31;32;21;30;29;25;29;25
Agriculture;Bâtiments & Machines agricoles;33;100;100;100;100;100;100;100;100;100;100;100;100
Agriculture;Elevage durable;33;100;100;100;100;100;100;100;100;100;100;100;100
Agriculture;Changements de pratiques de fertilisation azotée;33;100;100;100;100;100;100;100;100;100;100;100;100
Industrie;Production Industrielle;100;100;100;100;100;100;100;100;100;100;100;100;100
Déchets;Captage de méthane dans les ISDND;59;66;43;64;64;60;66;63;62;62;61;64;53
Déchets;Prévention des déchets;7;6;11;6;5;6;6;5;6;7;7;7;7
Déchets;Valorisation matière des déchets;35;28;46;30;31;34;28;32;32;30;33;30;40
UTCATF;Gestion des forêts et produits bois;100;100;100;100;100;100;100;100;100;100;100;100;100
UTCATF;Pratiques stockantes;34;41;55;53;5;50;54;57;46;47;40;51;26
UTCATF;Gestion des haies;66;59;45;47;95;50;46;43;54;53;60;49;74
UTCATF;Gestion des prairies;100;100;100;100;100;100;100;100;100;100;100;100;100
UTCATF;Sobriété foncière;100;100;100;100;100;100;100;100;100;100;100;100;100
Branche énergie;Electricité renouvelable;50;101;88;96;52;44;25;15;20;95;67;39;96
Branche énergie;Biogaz;44;78;163;110;40;79;61;15;77;94;59;85;19
Branche énergie;Réseaux de chaleur décarbonés;38;35;17;20;0;53;31;113;26;10;7;16;8
